plant,year,stage,seeds,year2,fate,seeds2,PS
313,2017,PS,0,2019,dead,0,0
314,2017,PS,0,2019,dead,0,0
315,2017,PS,0,2019,dead,0,0
316,2017,PS,0,2019,dead,0,0
317,2017,PS,0,2019,dead,0,0
318,2017,PS,0,2019,dead,0,0
319,2017,PS,0,2019,dead,0,0
320,2017,PS,0,2019,dead,0,0
321,2017,PS,0,2019,dead,0,0
322,2017,PS,0,2019,dead,0,0
323,2017,PS,0,2019,dead,0,0
324,2017,PS,0,2019,dead,0,0
325,2017,PS,0,2019,dead,0,0
326,2017,PS,0,2019,dead,0,0
327,2017,PS,0,2019,dead,0,0
328,2017,PS,0,2019,dead,0,0
329,2017,PS,0,2019,dead,0,0
330,2017,PS,0,2019,dead,0,0
331,2017,PS,0,2019,dead,0,0
332,2017,PS,0,2019,dead,0,0
333,2017,PS,0,2019,dead,0,0
334,2017,PS,0,2019,dead,0,0
335,2017,PS,0,2019,dead,0,0
336,2017,PS,0,2019,dead,0,0
337,2017,PS,0,2019,dead,0,0
338,2017,PS,0,2019,dead,0,0
339,2017,PS,0,2019,dead,0,0
340,2017,PS,0,2019,dead,0,0
341,2017,PS,0,2019,dead,0,0
342,2017,PS,0,2019,dead,0,0
343,2017,PS,0,2019,dead,0,0
344,2017,PS,0,2019,dead,0,0
345,2017,PS,0,2019,dead,0,0
346,2017,PS,0,2019,dead,0,0
347,2017,PS,0,2019,dead,0,0
348,2017,PS,0,2019,dead,0,0
349,2017,PS,0,2019,dead,0,0
350,2017,PS,0,2019,dead,0,0
351,2017,PS,0,2019,dead,0,0
352,2017,PS,0,2019,dead,0,0
353,2017,PS,0,2019,dead,0,0
354,2017,PS,0,2019,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
360,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
361,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
365,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
366,2019,PS,0,2021,PS,0,0
NA,NA,NA,NA,NA,NA,NA,NA
367,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
368,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
369,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
370,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
371,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
372,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
373,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
374,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
375,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
376,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
377,2019,PS,0,2021,dead,0,0
393,2017,P,0,2019,P,0,0
393,2019,P,0,2021,PX,0.643311532,0
394,2017,P,0.521106293,2019,P,0.559701208,0.001563319
394,2019,P,0.559701208,2021,P,0,0.001679104
395,2017,P,0,2019,P,0,0
395,2019,P,0,2021,P,0,0
396,2017,P,0,2019,P,0.52498487,0
396,2019,P,0.52498487,2021,P,0.605042011,0.001574955
397,2017,P,0,2019,P,0,0
397,2019,P,0,2021,P,0,0
398,2017,P,0,2019,P,0,0
398,2019,P,0,2021,P,0,0
399,2017,P,0,2019,P,0,0
399,2019,P,0,2021,P,0.474498745,0
400,2017,P,0,2019,P,0,0
400,2019,P,0,2021,P,0,0
401,2017,P,0,2019,P,0,0
401,2019,P,0,2021,P,0.528860434,0
402,2017,P,0,2019,P,0,0
402,2019,P,0,2021,P,0.515283799,0
403,2017,P,0,2019,P,0,0
403,2019,P,0,2021,P,0,0
404,2017,P,0,2019,P,0,0
404,2019,P,0,2021,P,0,0
405,2017,P,0,2019,P,0,0
405,2019,P,0,2021,P,0,0
406,2017,P,0,2019,P,0,0
406,2019,P,0,2021,P,0,0
407,2017,P,0,2019,P,0,0
407,2019,P,0,2021,P,0,0
408,2017,P,0,2019,P,0,0
408,2019,P,0,2021,P,0,0
409,2017,P,0,2019,P,0,0
409,2019,P,0,2021,P,0,0
410,2017,P,0,2019,P,0,0
410,2019,P,0,2021,P,0,0
411,2017,P,0,2019,P,0,0
411,2019,P,0,2021,P,0,0
412,2017,P,0,2019,P,0,0
412,2019,P,0,2021,P,0,0
413,2017,P,0,2019,P,0,0
413,2019,P,0,2021,P,0.482257758,0
414,2017,P,0,2019,P,0,0
414,2019,P,0,2021,P,0,0
415,2017,P,0,2019,P,0,0
415,2019,P,0,2021,P,0,0
416,2017,P,0,2019,P,0,0
416,2019,P,0,2021,P,0,0
417,2017,P,0,2019,P,0.426428893,0
417,2019,P,0.426428893,2021,P,0,0.001279287
418,2017,P,0,2019,P,0,0
418,2019,P,0,2021,P,0,0
419,2017,P,0,2019,P,0,0
419,2019,P,0,2021,P,0,0
420,2017,P,0,2019,P,0,0
420,2019,P,0,2021,P,0,0
421,2017,P,0,2019,P,0,0
421,2019,P,0,2021,P,0,0
422,2017,P,0,2019,P,0,0
422,2019,P,0,2021,P,0,0
423,2017,P,0,2019,P,0,0
423,2019,P,0,2021,P,0,0
424,2017,PS,0,2019,PS,0,0
424,2019,PS,0,2021,PS,0,0
425,2017,PS,0,2019,dead,0,0
426,2017,PS,0,2019,dead,0,0
427,2017,PS,0,2019,dead,0,0
428,2017,PS,0,2019,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
431,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
432,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
433,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
434,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
435,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
436,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
437,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
438,2019,PS,0,2021,dead,0,0
519,2017,P,0,2019,P,0,0
519,2019,P,0,2021,PX,0.623458882,0
520,2017,PX,0.81977702,2019,dead,0,0.002459331
521,2017,P,0.526923057,2019,PX,0.621632199,0.001580769
521,2019,PX,0.621632199,2021,PX,0.674737917,0.001864897
522,2017,PX,0.630730139,2019,dead,0,0.00189219
523,2017,PX,0.871164742,2019,dead,0,0.002613494
524,2017,P,0.526923057,2019,P,0.552024698,0.001580769
524,2019,P,0.552024698,2021,P,0,0.001656074
525,2017,P,0,2019,P,0,0
525,2019,P,0,2021,P,0,0
526,2017,P,0,2019,P,0,0
526,2019,P,0,2021,P,0.603182849,0
527,2017,P,0,2019,P,0.497797735,0
527,2019,P,0.497797735,2021,P,0,0.001493393
528,2017,P,0,2019,P,0,0
528,2019,P,0,2021,P,0.555866287,0
529,2017,P,0,2019,P,0,0
529,2019,P,0,2021,P,0,0
530,2017,P,0,2019,P,0,0
530,2019,P,0,2021,P,0,0
531,2017,P,0,2019,P,0,0
531,2019,P,0,2021,P,0,0
532,2017,P,0,2019,P,0,0
532,2019,P,0,2021,P,0,0
533,2017,P,0,2019,P,0,0
533,2019,P,0,2021,P,0,0
534,2017,P,0,2019,P,0,0
534,2019,P,0,2021,P,0,0
535,2017,P,0,2019,P,0,0
535,2019,P,0,2021,P,0,0
536,2017,P,0,2019,P,0.505571197,0
536,2019,P,0.505571197,2021,P,0,0.001516714
537,2017,P,0,2019,P,0,0
537,2019,P,0,2021,P,0,0
538,2017,P,0,2019,P,0,0
538,2019,P,0,2021,P,0,0
539,2017,P,0,2019,P,0,0
539,2019,P,0,2021,P,0,0
540,2017,P,0,2019,P,0.509457154,0
540,2019,P,0.509457154,2021,P,0.52498487,0.001528371
541,2017,PS,0,2019,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
542,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
543,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
544,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
545,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
546,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
547,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
548,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
549,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
550,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
551,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
