plant,year,stage,seeds,year2,fate,seeds2,PS
452,2019,P,0,2021,P,0,0
453,2017,P,0,2019,P,0.447463257,0
453,2019,P,0.447463257,2021,P,0.482257758,0.00134239
454,2017,P,0,2019,P,0,0
454,2019,P,0,2021,P,0,0
455,2017,PS,0,2019,P,0,0
455,2019,P,0,2021,P,0.536441388,0
456,2017,PS,0,2019,dead,0,0
457,2017,PS,0,2019,dead,0,0
458,2017,PS,0,2019,dead,0,0
459,2017,PS,0,2019,dead,0,0
460,2017,PS,0,2019,dead,0,0
461,2017,PS,0,2019,dead,0,0
462,2017,PS,0,2019,dead,0,0
463,2017,PS,0,2019,dead,0,0
464,2017,PS,0,2019,dead,0,0
465,2017,PS,0,2019,dead,0,0
466,2017,PS,0,2019,dead,0,0
467,2017,PS,0,2019,dead,0,0
468,2017,PS,0,2019,dead,0,0
469,2017,PS,0,2019,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
474,2019,PS,0,2021,PS,0,0
NA,NA,NA,NA,NA,NA,NA,NA
475,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
476,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
477,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
478,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
479,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
480,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
481,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
482,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
483,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
484,2019,PS,0,2021,PS,0,0
NA,NA,NA,NA,NA,NA,NA,NA
485,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
486,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
487,2019,PS,0,2021,PS,0,0
NA,NA,NA,NA,NA,NA,NA,NA
488,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
489,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
490,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
491,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
492,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
493,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
494,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
495,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
496,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
497,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
498,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
499,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
500,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
501,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
502,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
503,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
504,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
505,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
506,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
507,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
508,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
509,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
510,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
511,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
512,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
513,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
514,2019,PS,0,2021,dead,0,0
655,2017,PX,0.650414384,2019,PX,0.662683787,0.001951243
655,2019,PX,0.662683787,2021,PX,0.678140743,0.001988051
656,2017,PX,0.756562674,2019,PX,0.776043677,0.002269688
656,2019,PX,0.776043677,2021,PX,0.784045616,0.002328131
657,2017,PX,0.726800894,2019,PX,0.740470434,0.002180403
657,2019,PX,0.740470434,2021,PX,0.752241835,0.002221411
658,2017,PX,0.804361357,2019,PX,0.811597143,0.002413084
658,2019,PX,0.811597143,2021,PX,0.826565586,0.002434791
659,2017,PX,0.678140743,2019,PX,0.694868028,0.002034422
659,2019,PX,0.694868028,2021,PX,0.719015452,0.002084604
660,2017,PX,0.829883365,2019,PX,0.837428343,0.00248965
660,2019,PX,0.837428343,2021,PX,0.852685678,0.002512285
661,2017,PX,0.796917211,2019,PX,0.806796391,0.002390752
661,2019,PX,0.806796391,2021,PX,0.818625655,0.002420389
662,2017,PX,0.645093307,2019,PX,0.659199669,0.00193528
662,2019,PX,0.659199669,2021,PX,0.671316551,0.001977599
663,2017,PX,0.743447054,2019,PX,0.744926952,0.002230341
663,2019,PX,0.744926952,2021,PX,0.757991544,0.002234781
664,2017,PX,0.723702916,2019,PX,0.728341727,0.002171109
664,2019,PX,0.728341727,2021,PX,0.740470434,0.002185025
665,2017,PX,0.734450287,2019,PX,0.731406995,0.002203351
665,2019,PX,0.731406995,2021,PX,0.743447054,0.002194221
666,2017,PX,0.717442242,2019,PX,0.703046213,0.002152327
666,2019,PX,0.703046213,2021,PX,0.719015452,0.002109139
667,2017,PX,0,2019,PX,0.655698261,0
667,2019,PX,0.655698261,2021,PX,0.678140743,0.001967095
668,2017,PX,0.694868028,2019,PX,0.698154468,0.002084604
668,2019,PX,0.698154468,2021,PX,0.723702916,0.002094463
669,2017,PX,0.667876912,2019,PX,0.678140743,0.002003631
669,2019,PX,0.678140743,2021,PX,0.689900986,0.002034422
670,2017,PX,0.643311532,2019,PX,0.653941166,0.001929935
670,2019,PX,0.653941166,2021,PX,0.676441663,0.001961823
671,2017,PX,0.691561614,2019,PX,0.704666582,0.002074685
671,2019,PX,0.704666582,2021,PX,0.711096338,0.002114
672,2017,PX,0.865838527,2019,PX,0.868524522,0.002597516
672,2019,PX,0.868524522,2021,PX,0.879640866,0.002605574
673,2017,PX,0.781401534,2019,PX,0.798172405,0.002344205
673,2019,PX,0.798172405,2021,PX,0.813962946,0.002394517
NA,NA,NA,NA,NA,NA,NA,NA
674,2019,PS,0,2021,dead,0,0
NA,NA,NA,NA,NA,NA,NA,NA
